uid,country,gender,device,group,spent,converted
1000000,CAN,M,I,B,0,No
1000001,BRA,M,A,A,0,No
1000002,FRA,M,A,A,0,No
1000003,BRA,M,I,B,0,No
1000004,DEU,F,A,A,0,No
1000005,GBR,F,A,B,0,No
1000006,ESP,M,A,B,0,No
1000007,BRA,F,A,A,0,No
1000008,BRA,F,A,A,0,No
1000009,USA,,A,A,0,No
1000010,BRA,M,I,B,0,No
1000012,USA,M,A,B,0,No
1000013,GBR,F,A,A,0,No
1000014,USA,M,A,A,0,No
1000015,AUS,F,A,A,0,No
1000016,DEU,F,I,A,0,No
1000017,MEX,O,A,B,0,No
1000018,USA,M,I,B,0,No
1000019,MEX,F,A,B,0,No
1000020,AUS,M,A,A,0,No
1000021,GBR,M,A,B,0,No
1000022,DEU,F,A,B,0,No
1000023,BRA,M,I,B,0,No
1000024,CAN,M,A,A,0,No
1000025,USA,M,I,A,0,No
1000026,DEU,F,A,B,0,No
1000027,BRA,,I,B,0,No
1000028,BRA,F,A,A,0,No
1000029,MEX,M,A,A,0,No
1000030,FRA,F,I,A,0,No
1000031,GBR,F,I,B,0,No
1000032,GBR,,I,A,0,No
1000033,FRA,,A,A,0,No
1000034,USA,M,A,A,0,No
1000035,USA,F,A,B,0,No
1000036,USA,F,A,B,0,No
1000037,TUR,M,A,B,0,No
1000038,BRA,M,A,A,0,No
1000039,GBR,F,A,B,36.65,Yes
1000040,USA,F,A,A,0,No
1000041,CAN,M,A,A,0,No
1000042,BRA,F,I,A,0,No
1000043,,F,A,B,0,No
1000044,USA,,A,B,0,No
1000045,USA,F,I,B,51.58,Yes
1000046,BRA,M,I,A,0,No
1000047,USA,F,A,A,0,No
1000048,CAN,F,I,A,0,No
1000049,USA,F,A,A,0,No
1000050,MEX,M,A,A,0,No
1000051,MEX,,I,B,0,No
1000052,BRA,M,I,B,0,No
1000053,BRA,M,A,A,0,No
1000054,GBR,F,A,B,0,No
1000055,ESP,M,A,A,0,No
1000056,AUS,M,A,B,0,No
1000057,BRA,O,A,B,0,No
1000058,TUR,F,A,A,0,No
1000059,DEU,F,A,A,0,No
1000061,DEU,M,A,B,0,No
1000062,AUS,F,I,B,0,No
1000063,USA,F,A,A,0,No
1000064,CAN,M,A,B,0,No
1000065,TUR,F,I,B,0,No
1000066,DEU,,A,A,0,No
1000067,BRA,M,A,A,0,No
1000068,GBR,F,A,B,0,No
1000069,ESP,M,A,B,0,No
1000070,ESP,M,I,A,0,No
1000071,USA,F,I,B,6.71,Yes
1000072,DEU,F,I,B,0,No
1000073,USA,M,A,A,0,No
1000074,BRA,O,A,B,0,No
1000075,GBR,M,A,A,0,No
1000076,USA,F,I,A,0,No
1000077,AUS,F,,A,0,No
1000078,FRA,F,A,A,0,No
1000080,USA,,A,A,0,No
1000081,USA,F,A,A,0,No
1000082,BRA,M,A,B,0,No
1000083,BRA,F,A,A,0,No
1000084,MEX,M,A,A,0,No
1000085,MEX,M,I,A,0,No
1000086,BRA,M,A,B,0,No
1000087,ESP,M,A,B,0,No
1000088,,O,A,B,0,No
1000089,BRA,F,I,A,0,No
1000090,USA,F,A,B,0,No
1000091,BRA,M,A,B,0,No
1000092,BRA,,I,B,0,No
1000093,TUR,M,I,B,0,No
1000094,DEU,M,A,B,0,No
1000095,CAN,F,I,B,0,No
1000096,USA,F,A,B,0,No
1000097,MEX,O,I,B,0,No
1000098,GBR,M,A,A,0,No
1000099,USA,,A,A,0,No
1000100,,M,A,B,0,No
1000101,MEX,F,A,B,23.80449694,Yes
1000102,USA,M,A,A,0,No
1000103,BRA,M,A,A,0,No
1000104,USA,,A,A,0,No
1000105,USA,M,I,A,0,No
1000106,TUR,,A,A,0,No
1000107,BRA,,A,A,0,No
1000108,MEX,M,A,B,0,No
1000109,MEX,M,A,B,0,No
1000110,USA,M,A,A,0,No
1000111,GBR,,A,B,0,No
1000112,USA,F,A,A,0,No
1000113,BRA,M,A,B,0,No
1000114,CAN,M,I,A,0,No
1000115,MEX,M,A,A,0,No
1000117,ESP,,I,A,0,No
1000118,USA,M,,B,0,No
1000119,BRA,F,A,B,0,No
1000120,TUR,M,I,B,0,No
1000121,ESP,F,A,B,0,No
1000122,BRA,F,A,A,0,No
1000123,DEU,,I,B,100.74,Yes
1000124,MEX,M,A,B,0,No
1000125,DEU,F,A,A,0,No
1000126,TUR,F,I,A,0,No
1000127,USA,F,A,B,0,No
1000128,GBR,M,A,B,0,No
1000129,DEU,M,I,A,0,No
1000130,USA,M,A,B,0,No
1000131,BRA,,A,A,0,No
1000132,USA,F,I,B,0,No
1000133,USA,,I,A,0,No
1000134,USA,,I,B,0,No
1000135,USA,M,I,B,0,No
1000136,MEX,M,A,A,0,No
1000137,USA,M,A,A,0,No
1000138,BRA,M,I,B,0,No
1000139,USA,,I,A,0,No
1000140,USA,M,I,A,0,No
1000141,BRA,M,A,A,11.49,Yes
1000142,USA,F,,B,0,No
1000143,USA,,I,B,0,No
1000144,USA,M,I,A,0,No
1000145,MEX,,I,A,0,No
1000146,BRA,F,A,A,0,No
1000147,TUR,F,A,A,0,No
1000148,FRA,M,I,A,0,No
1000149,,M,I,A,0,No
1000150,USA,F,I,B,0,No
1000151,MEX,M,I,A,0,No
1000152,MEX,F,I,B,0,No
1000153,USA,F,A,B,0,No
1000155,DEU,M,I,A,0,No
1000156,BRA,M,I,A,0,No
1000157,ESP,F,I,A,0,No
1000158,TUR,M,I,A,0,No
1000160,USA,F,A,A,35.34,Yes
1000161,,M,A,A,0,No
1000162,BRA,M,A,A,52.92,Yes
1000163,BRA,F,A,B,0,No
1000164,BRA,F,A,B,0,No
1000165,GBR,M,I,B,0,No
1000166,DEU,M,A,A,0,No
1000167,BRA,F,A,A,0,No
1000168,BRA,F,A,A,0,No
1000169,USA,O,I,A,0,No
1000170,USA,M,A,B,0,No
1000171,USA,M,I,A,0,No
1000172,USA,,I,A,0,No
1000173,USA,F,I,A,0,No
1000174,TUR,M,A,B,0,No
1000175,AUS,F,I,A,0,No
1000177,DEU,F,A,A,0,No
1000178,USA,M,I,B,0,No
1000179,USA,M,A,B,0,No
1000180,USA,M,I,B,0,No
1000181,USA,F,I,A,0,No
1000182,TUR,F,A,B,0,No
1000183,MEX,M,A,B,0,No
1000184,ESP,M,A,A,0,No
1000185,MEX,F,I,B,53.07,Yes
1000186,MEX,F,A,A,0,No
1000187,,M,I,B,0,No
1000188,USA,M,A,B,0,No
1000189,CAN,,I,B,0,No
1000190,GBR,M,I,A,0,No
1000191,FRA,F,A,B,0,No
1000192,ESP,F,I,A,0,No
1000193,BRA,F,A,B,0,No
1000194,MEX,F,A,A,0,No
1000195,GBR,F,A,A,0,No
1000196,MEX,M,A,A,0,No
1000197,TUR,F,A,B,0,No
1000198,USA,M,A,A,0,No
1000199,MEX,F,I,B,0,No
1000200,USA,F,I,A,166.32,Yes
1000201,CAN,F,I,B,0,No
1000202,MEX,M,A,A,0,No
1000203,DEU,M,A,A,0,No
1000204,DEU,M,A,B,0,No
1000205,BRA,,A,A,0,No
1000206,USA,F,I,A,0,No
1000207,TUR,F,A,A,0,No
1000208,USA,F,I,A,0,No
1000209,ESP,,A,B,0,No
1000210,FRA,F,I,A,0,No
1000211,USA,M,A,B,0,No
1000212,MEX,F,A,A,0,No
1000213,AUS,M,I,B,0,No
1000214,FRA,F,A,B,0,No
1000215,,M,I,B,0,No
1000216,USA,M,I,B,0,No
1000217,BRA,,A,B,0,No
1000218,USA,F,A,B,0,No
1000219,ESP,F,A,A,0,No
1000220,USA,,I,A,0,No
1000221,DEU,M,A,A,0,No
1000222,USA,M,A,A,0,No
1000223,DEU,M,I,A,0,No
1000224,GBR,F,A,A,0,No
1000225,USA,M,A,B,0,No
1000226,CAN,M,,A,0,No
1000227,GBR,F,I,A,0,No
1000228,USA,F,I,B,0,No
1000229,USA,M,I,A,0,No
1000230,BRA,O,I,B,0,No
1000231,FRA,F,I,B,0,No
1000232,BRA,F,A,B,0,No
1000233,MEX,M,A,A,0,No
1000234,GBR,M,A,B,0,No
1000235,FRA,M,I,A,0,No
1000236,BRA,M,I,B,0,No
1000237,USA,M,I,B,13.17,Yes
1000238,USA,M,I,B,0,No
1000239,TUR,F,A,A,0,No
1000240,CAN,M,I,B,0,No
1000241,BRA,,A,A,0,No
1000242,BRA,M,A,B,0,No
1000243,USA,F,A,A,0,No
1000244,USA,M,A,B,0,No
1000245,MEX,F,A,A,0,No
1000246,TUR,F,I,B,0,No
1000247,FRA,F,A,A,0,No
1000248,FRA,M,A,A,0,No
1000249,GBR,F,,A,0,No
1000250,FRA,F,A,B,0,No
1000251,USA,M,A,A,0,No
